Date,Open,High,Low,Close,Adj Close,Volume,SMA,EMA,Volatility,RSI,MACD,Signal Line,Daily_Return,Normalized_Close,Log_Return,10_Day_MA_Return,Previous_Day_Return
2021-06-01,209.267,211.267,206.85,207.967,207.967,54254700,0.0,207.967,0.0,100.0,0.0,0.0,0.0,-0.684,0.0,0.0,0.0
2021-06-02,206.71,207.787,199.713,201.707,201.707,69908400,0.0,204.613,0.0,100.0,-0.14,-0.078,-0.03,-0.79,-0.031,0.0,0.0
2021-06-03,200.6,201.517,190.407,190.947,190.947,90335700,0.0,199.392,0.0,100.0,-0.513,-0.256,-0.053,-0.974,-0.055,0.0,-0.03
2021-06-04,193.237,200.203,192.4,199.683,199.683,72110700,0.0,199.481,0.0,100.0,-0.354,-0.289,0.046,-0.825,0.045,0.0,-0.053
2021-06-07,197.277,203.333,194.293,201.71,201.71,67631100,0.0,200.063,0.0,100.0,-0.18,-0.257,0.01,-0.79,0.01,0.0,0.046
2021-06-08,207.67,207.697,198.5,201.197,201.197,78160200,0.0,200.325,0.0,100.0,-0.093,-0.212,-0.003,-0.799,-0.003,0.0,0.01
2021-06-09,200.723,203.93,199.21,199.593,199.593,49753800,0.0,200.171,0.0,100.0,-0.109,-0.186,-0.008,-0.826,-0.008,0.0,-0.003
2021-06-10,201.293,205.53,200.167,203.373,203.373,71758800,0.0,200.797,0.0,100.0,0.062,-0.127,0.019,-0.762,0.019,0.0,-0.008
2021-06-11,203.41,204.187,200.507,203.297,203.297,48615900,0.0,201.258,0.0,100.0,0.176,-0.057,-0.0,-0.763,-0.0,0.0,0.019
2021-06-14,204.077,208.497,203.06,205.897,205.897,61272000,0.0,202.07,0.0,100.0,0.388,0.043,0.013,-0.719,0.013,-0.001,-0.0
2021-06-15,205.563,205.597,199.41,199.787,199.787,53292300,0.0,201.686,0.0,100.0,0.21,0.079,-0.03,-0.823,-0.03,-0.004,0.013
2021-06-16,199.18,202.833,197.833,201.623,201.623,66432300,0.0,201.676,0.0,100.0,0.178,0.1,0.009,-0.792,0.009,0.0,-0.03
2021-06-17,200.63,207.157,200.447,205.533,205.533,68104200,0.0,202.285,0.0,100.0,0.372,0.158,0.019,-0.725,0.019,0.008,0.009
2021-06-18,204.457,209.45,203.933,207.77,207.77,73682700,0.0,203.131,4.288,100.0,0.643,0.259,0.011,-0.687,0.011,0.004,0.019
2021-06-21,208.16,210.463,202.96,206.943,206.943,74438100,0.0,203.706,4.189,100.0,0.789,0.369,-0.004,-0.701,-0.004,0.003,0.011
2021-06-22,206.083,209.523,205.167,207.903,207.903,57476700,0.0,204.329,4.465,100.0,0.949,0.488,0.005,-0.685,0.005,0.003,-0.004
2021-06-23,210.667,219.067,210.013,218.857,218.857,93297600,0.0,206.452,5.088,100.0,1.737,0.744,0.053,-0.498,0.051,0.009,0.005
2021-06-24,224.997,232.54,222.537,226.607,226.607,137947200,0.0,209.361,7.594,100.0,2.807,1.164,0.035,-0.366,0.035,0.011,0.053
2021-06-25,229.86,231.27,222.9,223.957,223.957,97490100,0.0,211.444,8.766,100.0,3.426,1.623,-0.012,-0.411,-0.012,0.01,0.035
2021-06-28,223.88,231.567,223.44,229.573,229.573,64884600,207.196,214.008,10.225,100.0,4.228,2.15,0.025,-0.315,0.025,0.011,-0.012
2021-06-29,228.217,229.17,225.297,226.92,226.92,52143900,208.144,215.819,10.674,61.577,4.621,2.649,-0.012,-0.361,-0.012,0.013,0.025
2021-06-30,226.59,230.937,226.047,226.567,226.567,56774700,209.387,217.317,11.025,66.365,4.846,3.092,-0.002,-0.367,-0.002,0.012,-0.012
2021-07-01,227.973,229.33,224.267,225.973,225.973,55903500,211.138,218.515,11.052,76.621,4.923,3.46,-0.003,-0.377,-0.003,0.01,-0.002
2021-07-02,226.327,233.333,224.42,226.3,226.3,81163500,212.469,219.588,11.064,73.195,4.948,3.759,0.001,-0.371,0.001,0.009,-0.003
2021-07-06,227.237,228.0,217.133,219.86,219.86,69853500,213.377,219.625,9.943,64.687,4.461,3.9,-0.028,-0.481,-0.029,0.006,0.001
2021-07-07,221.423,221.9,212.773,214.883,214.883,56376000,214.061,218.977,8.813,60.329,3.68,3.856,-0.023,-0.566,-0.023,0.004,-0.028
2021-07-08,209.457,218.143,206.82,217.603,217.603,68319900,214.961,218.79,7.927,63.366,3.222,3.729,0.013,-0.519,0.013,-0.0,-0.023
2021-07-09,217.727,219.637,214.897,218.983,218.983,54421500,215.742,218.816,7.125,62.013,2.925,3.568,0.006,-0.496,0.006,-0.003,0.013
2021-07-12,220.733,229.08,220.72,228.567,228.567,77781000,217.005,220.137,6.175,66.965,3.351,3.524,0.044,-0.333,0.043,0.002,0.006
2021-07-13,228.773,231.093,222.1,222.847,222.847,62898300,217.853,220.504,4.574,60.922,3.229,3.465,-0.025,-0.43,-0.025,-0.003,0.044
2021-07-14,223.583,226.203,217.613,217.793,217.793,64923600,218.753,220.138,4.663,61.763,2.726,3.317,-0.023,-0.516,-0.023,-0.004,-0.025
2021-07-15,219.463,222.047,212.627,216.867,216.867,60628800,219.515,219.697,4.857,60.078,2.234,3.1,-0.004,-0.532,-0.004,-0.004,-0.023
2021-07-16,218.227,218.9,214.067,214.74,214.74,49113000,219.976,219.03,5.269,56.234,1.666,2.813,-0.01,-0.568,-0.01,-0.005,-0.004
2021-07-19,209.963,215.733,207.097,215.407,215.407,63891300,220.358,218.543,5.051,55.283,1.252,2.501,0.003,-0.557,0.003,-0.005,-0.01
2021-07-20,217.33,220.797,213.5,220.167,220.167,46461300,221.019,218.761,4.75,58.676,1.271,2.255,0.022,-0.476,0.022,0.0,0.003
2021-07-21,219.87,221.62,216.763,218.43,218.43,41859900,221.545,218.717,4.434,56.837,1.14,2.032,-0.008,-0.505,-0.008,0.002,0.022
2021-07-22,218.813,220.723,214.867,216.42,216.42,45317100,221.423,218.409,4.152,48.209,0.872,1.8,-0.009,-0.54,-0.009,-0.0,-0.008
2021-07-23,215.453,216.267,212.433,214.46,214.46,43814700,220.816,217.88,3.785,40.244,0.504,1.541,-0.009,-0.573,-0.009,-0.002,-0.009
2021-07-26,216.99,222.733,215.703,219.207,219.207,76009800,220.578,218.058,3.769,46.309,0.572,1.347,0.022,-0.492,0.022,-0.004,-0.009
2021-07-27,221.133,222.167,209.08,214.927,214.927,98439900,219.846,217.639,3.766,38.378,0.291,1.136,-0.02,-0.565,-0.02,-0.004,0.022
2021-07-28,215.667,218.323,213.133,215.66,215.66,48019800,219.283,217.374,3.829,40.785,0.125,0.934,0.003,-0.553,0.003,-0.001,-0.02
2021-07-29,216.597,227.897,216.267,225.783,225.783,91183800,219.244,218.498,4.337,49.447,0.771,0.901,0.047,-0.38,0.046,0.004,0.003
2021-07-30,223.92,232.51,223.0,229.067,229.067,88969200,219.399,219.91,4.426,52.103,1.521,1.025,0.015,-0.324,0.014,0.007,0.047
2021-08-02,233.333,242.313,232.8,236.557,236.557,100847400,219.911,222.134,6.463,56.354,2.67,1.354,0.033,-0.196,0.032,0.01,0.015
2021-08-03,239.667,240.883,233.67,236.58,236.58,64860900,220.747,224.063,7.844,61.252,3.54,1.791,0.0,-0.196,0.0,0.007,0.033
2021-08-04,237.0,241.633,236.31,236.973,236.973,51007800,221.852,225.787,8.807,65.843,4.212,2.275,0.002,-0.189,0.002,0.008,0.0
2021-08-05,238.667,240.317,237.137,238.21,238.21,38758800,222.882,227.445,9.437,65.1,4.786,2.778,0.005,-0.168,0.005,0.01,0.002
2021-08-06,237.3,238.777,232.543,233.033,233.033,46869000,223.585,228.191,9.359,59.753,4.778,3.178,-0.022,-0.256,-0.022,0.009,0.005
2021-08-09,236.723,239.677,235.043,237.92,237.92,44145900,224.052,229.49,9.789,56.946,5.098,3.562,0.021,-0.173,0.021,0.008,-0.022
2021-08-10,237.997,238.863,233.96,236.663,236.663,40296900,224.743,230.447,9.823,60.988,5.192,3.888,-0.005,-0.195,-0.005,0.01,0.021
2021-08-11,237.57,238.393,234.737,235.94,235.94,29401800,225.651,231.18,9.436,65.499,5.15,4.14,-0.003,-0.207,-0.003,0.009,-0.005
2021-08-12,235.447,240.933,233.133,240.75,240.75,52377300,226.845,232.456,8.841,69.13,5.435,4.399,0.02,-0.125,0.02,0.007,-0.003
2021-08-13,241.237,243.3,238.113,239.057,239.057,50194500,228.061,233.337,8.342,69.613,5.464,4.612,-0.007,-0.154,-0.007,0.004,0.02
2021-08-16,235.023,236.5,225.467,228.723,228.723,68032200,228.726,232.722,6.75,59.292,4.611,4.612,-0.043,-0.33,-0.044,-0.003,-0.007
2021-08-17,224.22,224.86,216.28,221.903,221.903,71163900,228.813,231.279,5.575,51.178,3.354,4.361,-0.03,-0.446,-0.03,-0.006,-0.043
